"CVEGEO","POB1"
"1300100010043",439
"1300200010125",1753
"130020001013A",2108
"130020001020A",47
"1300200070214",2192
"1300200070229",1801
"1300200070252",4
"1300200130163",1150
"1300200130178",1180
"1300200130233",717
"1300200130248",940
"1300200130267",63
"1300200160106",2090
"1300200160144",191
"1300200160159",214
"1300200160182",783
"1300200160197",1520
"1300200160271",315
"1300300010103",434
"1300300010118",1102
"1300300010122",469
"1300300010141",3205
"1300300010156",1351
"1300300010160",4246
"1300300010175",2650
"130030001018A",1386
"1300300010211",1540
"1300300010226",1301
"130030001025A",674
"1300300010264",829
"1300300010279",2223
"1300300010283",1740
"1300300010300",44
"1300300010315",235
"130030001032A",165
"1300300010334",3
"1300300010349",2260
"1300300010353",1627
"1300300010368",3323
"1300300010372",1469
"1300300050391",1925
"1300300050404",1109
"1300300100230",1347
"1300300100245",2137
"1300300120086",2754
"1300300140387",3131
"1300400010045",345
"130040001005A",912
"1300400010064",576
"1300400010079",440
"1300400010083",52
"1300500010112",340
"130050001017A",114
"1300500010184",486
"1300500010199",2873
"1300500010201",1708
"1300500010216",1252
"1300500010220",1212
"1300500010269",51
"1300500010273",54
"1300500010358",23
"1300500010409",61
"1300500010432",16
"1300500010447",18
"1300500010451",17
"1300500010466",29
"1300500050235",1645
"130050005024A",2813
"1300500050339",38
"1300500050377",11
"1300500050428",44
"1300500050470",0
"1300500050485",7
"1300500060076",861
"1300500060146",624
"1300500060381",476
"1300500060396",472
"1300600010069",78
"1300600010073",827
"1300600010088",889
"1300700010051",404
"1300700010066",48
"1300700010070",384
"1300700010085",1363
"130070001009A",3309
"1300700010102",110
"1300800010059",2568
"1300800010063",3768
"1300800010097",4012
"1300800010114",1849
"1300800010152",2786
"1300800010167",1608
"1300800010171",2469
"1300800010186",1771
"1300800010190",272
"1300800010203",422
"1300800010218",391
"1300800010237",88
"1300800010241",211
"1300800010256",510
"1300800010260",972
"1300800010275",74
"130080001028A",1941
"1300800010294",2340
"1300800010307",740
"1300800050129",1578
"1300800050133",1116
"1300800110148",1090
"1300800110311",1867
"1300900010060",349
"1300900010126",981
"1300900010130",791
"1300900010145",352
"130090001015A",1105
"1300900050107",1551
"1300900050111",1121
"1301000010023",2517
"1301000010042",4163
"1301000010165",102
"130100001017A",142
"1301000020080",3778
"1301000020095",2867
"1301000020108",2639
"1301000020184",622
"1301000020199",4
"1301000020254",653
"1301000020269",530
"1301000020362",988
"1301000060273",3384
"1301000060343",22
"1301000060358",10
"1301000070038",2797
"1301000080288",1104
"1301000080292",1226
"1301000080305",1263
"130100008031A",292
"1301100010069",1514
"1301100010088",847
"1301100010092",473
"1301100010105",126
"1301200010085",1464
"1301200010117",2939
"1301200010121",1136
"1301200010136",1499
"1301200010140",1214
"1301200010155",147
"130120001016A",18
"1301300010078",1455
"1301300010082",1516
"1301300010133",3253
"1301300010148",2598
"1301300060114",2154
"1301300060129",2248
"1301300060241",246
"1301300060275",57
"1301300100222",1917
"1301300100237",1266
"130130010028A",127
"1301300130203",1505
"1301300130256",1325
"1301300130260",1421
"1301300130294",16
"1301300290059",1298
"1301300290097",703
"1301300290307",1118
"1301300290311",1509
"1301300290326",1820
"1301300290330",1248
"1301300290345",926
"130130029035A",909
"1301300290364",1177
"1301300290379",1554
"1301300290383",1122
"1301300290398",650
"1301300290400",1369
"1301300290415",1309
"130130029042A",1195
"1301300290434",1570
"1301300290449",1571
"1301300290453",1995
"1301300290468",824
"1301300330472",309
"1301300330487",1670
"1301300330491",674
"1301300330504",NA
"1301300330519",NA
